",",
1987/10/1,409.66
1987/10/2,412.08
1987/10/5,412.45
1987/10/6,408.69
1987/10/7,405.65
1987/10/8,407.55
1987/10/9,410.03
1987/10/12,410.03
1987/10/13,407.72
1987/10/14,402.19
1987/10/15,397.39
1987/10/16,385.89
1987/10/19,361.07
1987/10/20,367.4
1987/10/21,377.71
1987/10/22,375.94
1987/10/23,367.73
1987/10/26,352.99
1987/10/27,348.96
1987/10/28,345.24
1987/10/29,346.46
1987/10/30,350.34
1987/11/2,351.82
1987/11/3,344.02
1987/11/4,332.66
1987/11/5,327.15
1987/11/6,331.01
1987/11/9,326.98
1987/11/10,316.88
1987/11/11,311.63
1987/11/12,316.97
1987/11/13,332.37
1987/11/16,337.17
1987/11/17,339.78
1987/11/18,335.58
1987/11/19,332.06
1987/11/20,329.32
1987/11/23,333.43
1987/11/24,328.86
1987/11/25,330.4
1987/11/26,328.57
1987/11/27,328.46
1987/11/30,319.48
1987/12/1,319.29
1987/12/2,320.46
1987/12/3,321.51
1987/12/4,322.74
1987/12/7,324.23
1987/12/8,324.23
1987/12/9,325.62
1987/12/10,327.64
1987/12/11,324.86
1987/12/14,325.45
1987/12/15,327.26
1987/12/16,328.76
1987/12/17,330.27
1987/12/18,332.74
1987/12/21,331.29
1987/12/22,331.32
1987/12/23,334.45
1987/12/24,340.37
1987/12/25,340.37
1987/12/28,341.33
1987/12/29,339.76
1987/12/30,343.64
1987/12/31,343.64
1988/1/1,343.64
1988/1/4,349.22
1988/1/5,365.29
1988/1/6,372.49
1988/1/7,371.96
1988/1/8,377.26
1988/1/11,375.1
1988/1/12,378.32
1988/1/13,377.41
1988/1/14,373.61
1988/1/15,378.58
1988/1/18,380.68
1988/1/19,379.95
1988/1/20,379.76
1988/1/21,376.82
1988/1/22,374.14
1988/1/25,373.51
1988/1/26,371.46
1988/1/27,371.55
1988/1/28,373.38
1988/1/29,373.39
1988/2/1,375.1
1988/2/2,374.26
1988/2/3,371.3
1988/2/4,369.52
1988/2/5,369.98
1988/2/8,367.62
1988/2/9,365.8
1988/2/10,364.87
1988/2/11,364.55
1988/2/12,367.98
1988/2/15,369.62
1988/2/16,369.94
1988/2/17,375.03
1988/2/18,381.13
1988/2/19,382
1988/2/22,382.71
1988/2/23,385.03
1988/2/24,387.53
1988/2/25,386.81
1988/2/26,387.6
1988/2/29,389.37
1988/3/1,393.29
1988/3/2,393.76
1988/3/3,396.8
1988/3/4,397.27
1988/3/7,397.33
1988/3/8,398.75
1988/3/9,401.64
1988/3/10,401.39
1988/3/11,399.64
1988/3/14,401.36
1988/3/15,398.64
1988/3/16,398.38
1988/3/17,397.72
1988/3/18,394.76
1988/3/21,392.86
1988/3/22,389.83
1988/3/23,380.62
1988/3/24,377.18
1988/3/25,382.04
1988/3/28,384.13
1988/3/29,384.46
1988/3/30,383.2
1988/3/31,380.19
1988/4/1,380.19
1988/4/4,378.54
1988/4/5,370.73
1988/4/6,372.42
1988/4/7,373.47
1988/4/8,376.3
1988/4/11,375.62
1988/4/12,374.42
1988/4/13,371.58
1988/4/14,368.97
1988/4/15,359.74
1988/4/18,357.95
1988/4/19,353.41
1988/4/20,349.31
1988/4/21,343.59
1988/4/22,337.29
1988/4/25,333.07
1988/4/26,333.07
1988/4/27,333.07
1988/4/28,333.07
1988/4/29,333.07
1988/5/2,350.99
1988/5/3,350.87
1988/5/4,345.42
1988/5/5,344.72
1988/5/6,342.47
1988/5/9,337.79
1988/5/10,331.78
1988/5/11,333.69
1988/5/12,336.25
1988/5/13,342.59
1988/5/16,345.25
1988/5/17,341.25
1988/5/18,341.71
1988/5/19,342.95
1988/5/20,343.31
1988/5/23,344.32
1988/5/24,344.13
1988/5/25,345.32
1988/5/26,342.37
1988/5/27,341.45
1988/5/30,340.09
1988/5/31,341.99
1988/6/1,343.76
1988/6/2,347.03
1988/6/3,348.29
1988/6/6,353.39
1988/6/7,353.39
1988/6/8,353
1988/6/9,354.67
1988/6/10,356.66
1988/6/13,357.52
1988/6/14,362.18
1988/6/15,367.6
1988/6/16,369.3
1988/6/17,373.49
1988/6/20,389.46
1988/6/21,393.78
1988/6/22,390.82
1988/6/23,390.26
1988/6/24,394.11
1988/6/27,399.84
1988/6/28,406.28
1988/6/29,406.28
1988/6/30,405.21
1988/7/1,407.37
1988/7/4,405.91
1988/7/5,401.89
1988/7/6,392.15
1988/7/7,386.35
1988/7/8,393.52
1988/7/11,396.46
1988/7/12,397.53
1988/7/13,394.83
1988/7/14,395.17
1988/7/15,395.67
1988/7/18,398.16
1988/7/19,399.58
1988/7/20,400.03
1988/7/21,398.21
1988/7/22,400.13
1988/7/25,400.84
1988/7/26,403.88
1988/7/27,408.61
1988/7/28,411.07
1988/7/29,409.51
1988/8/1,411.02
1988/8/2,409.66
1988/8/3,403.22
1988/8/4,401.81
1988/8/5,405.05
1988/8/8,404.25
1988/8/9,403.5
1988/8/10,402.18
1988/8/11,400.77
1988/8/12,401.11
1988/8/15,401.11
1988/8/16,401.49
1988/8/17,406.79
1988/8/18,408.16
1988/8/19,411.35
1988/8/22,412.02
1988/8/23,414.63
1988/8/24,419.19
1988/8/25,429.03
1988/8/26,432.16
1988/8/29,428.16
1988/8/30,432.03
1988/8/31,432.96
1988/9/1,428.86
1988/9/2,424.35
1988/9/5,419.59
1988/9/6,416.84
1988/9/7,416.17
1988/9/8,420.19
1988/9/9,425.17
1988/9/12,425.43
1988/9/13,424.41
1988/9/14,424.68
1988/9/15,427.24
1988/9/16,430.88
1988/9/19,430.88
1988/9/20,433.63
1988/9/21,432.95
1988/9/22,432
1988/9/23,433.63
1988/9/26,432.6
1988/9/27,427.27
1988/9/28,424.14
1988/9/29,425.17
1988/9/30,431.68
1988/10/3,447.44
1988/10/4,447.1
1988/10/5,447.1
1988/10/6,395.34
1988/10/7,406.54
1988/10/10,409.04
1988/10/11,405.8
1988/10/12,405.8
1988/10/13,395.39
1988/10/14,391.59
1988/10/17,389.36
1988/10/18,394.69
1988/10/19,403.13
1988/10/20,408.83
1988/10/21,407.15
1988/10/24,407.15
1988/10/25,407.05
1988/10/26,401.7
1988/10/27,403.89
1988/10/28,404.69
1988/10/31,409.45
1988/11/1,409.45
1988/11/2,409.96
1988/11/3,404.64
1988/11/4,403.24
1988/11/7,400.45
1988/11/8,400
1988/11/9,403.31
1988/11/10,405.02
1988/11/11,405.82
1988/11/14,406.19
1988/11/15,405.89
1988/11/16,407.06
1988/11/17,407.46
1988/11/18,408.63
1988/11/21,409.71
1988/11/22,410.75
1988/11/23,414.22
1988/11/24,419.5
1988/11/25,429.93
1988/11/28,434.49
1988/11/29,442.8
1988/11/30,436.03
1988/12/1,433.24
1988/12/2,435.17
1988/12/5,435.84
1988/12/6,435.16
1988/12/7,437.53
1988/12/8,437.53
1988/12/9,439.96
1988/12/12,441.2
1988/12/13,440.81
