Date,DJIA
1/2/1926,158.54
1/4/1926,158.75
1/5/1926,157.6
1/6/1926,158
1/7/1926,158.93
1/8/1926,158.76
1/9/1926,159.1
1/11/1926,157.58
1/12/1926,157.39
1/13/1926,158.31
1/14/1926,156.9
1/15/1926,155.1
1/16/1926,155.23
1/18/1926,155.98
1/19/1926,153.81
1/20/1926,155.04
1/21/1926,153.2
1/22/1926,154.26
1/23/1926,155.16
1/25/1926,155.28
1/26/1926,154.63
1/27/1926,156.46
1/28/1926,157.2
1/29/1926,157.35
1/30/1926,157.44
2/1/1926,156.83
2/2/1926,157.95
2/3/1926,159.4
2/4/1926,160.53
2/5/1926,159.98
2/6/1926,159.99
2/8/1926,159.1
2/9/1926,160.31
2/10/1926,161.58
2/11/1926,162.31
2/13/1926,162.08
2/15/1926,158.3
2/16/1926,158.88
2/17/1926,160.05
2/18/1926,161.09
2/19/1926,160.92
2/20/1926,160.93
2/23/1926,158.83
2/24/1926,158.55
2/25/1926,156.54
2/26/1926,154.68
2/27/1926,154.45
3/1/1926,150.9
3/2/1926,147.06
3/3/1926,144.44
3/4/1926,150.76
3/5/1926,150.4
3/6/1926,149.86
3/8/1926,150.1
3/9/1926,151.27
3/10/1926,153.13
3/11/1926,153
3/12/1926,153.03
3/13/1926,150.07
3/15/1926,150.65
3/16/1926,149.88
3/17/1926,149.28
3/18/1926,146.32
3/19/1926,145.11
3/20/1926,144.8
3/22/1926,146.32
3/23/1926,143.86
3/24/1926,140.31
3/25/1926,140.81
3/26/1926,141.76
3/27/1926,139.02
3/29/1926,135.49
3/30/1926,135.2
3/31/1926,140.46
4/1/1926,140.35
4/3/1926,140.39
4/5/1926,141.08
4/6/1926,142.43
4/7/1926,141.97
4/8/1926,140.67
4/9/1926,140.95
4/10/1926,139.93
4/12/1926,136.53
4/13/1926,138.9
4/14/1926,136.36
4/15/1926,137.08
4/16/1926,136.27
4/17/1926,136.83
4/19/1926,136.91
4/20/1926,137.47
4/21/1926,139.91
4/22/1926,141.11
4/23/1926,142.55
4/24/1926,144.83
4/26/1926,142.93
4/27/1926,143.15
4/28/1926,144.55
4/29/1926,144.43
4/30/1926,143.71
5/1/1926,143.4
5/3/1926,140.53
5/4/1926,141.38
5/5/1926,141.49
5/6/1926,142.13
5/7/1926,140.1
5/8/1926,140.23
5/10/1926,138.87
5/11/1926,139.05
5/12/1926,139.78
5/13/1926,139.45
5/14/1926,138.84
5/15/1926,138.02
5/17/1926,137.97
5/18/1926,137.53
5/19/1926,137.16
5/20/1926,138.66
5/21/1926,140.27
5/22/1926,140.41
5/24/1926,141.16
5/25/1926,141.2
5/26/1926,141.64
5/27/1926,142.43
5/28/1926,143.43
6/1/1926,142.3
6/2/1926,143.55
6/3/1926,145.03
6/4/1926,145.28
6/5/1926,145.36
6/7/1926,145.56
6/8/1926,145.4
6/9/1926,145.56
6/10/1926,145.95
6/11/1926,147.21
6/12/1926,148.61
6/14/1926,150.13
6/15/1926,149.37
6/16/1926,151.31
6/17/1926,153.44
6/18/1926,151.92
6/19/1926,153.33
6/21/1926,154.03
6/22/1926,153.54
6/23/1926,151.45
6/24/1926,151.87
6/25/1926,150.8
6/26/1926,150.68
6/28/1926,151.08
6/29/1926,152.61
6/30/1926,153.04
7/1/1926,153.01
7/2/1926,154.15
7/6/1926,154.37
7/7/1926,155.05
7/8/1926,155.66
7/9/1926,153.74
7/10/1926,155.06
7/12/1926,155.58
7/13/1926,156.83
7/14/1926,157.12
7/15/1926,155.84
7/16/1926,157.81
7/17/1926,158.81
7/19/1926,158.94
7/20/1926,157.63
7/21/1926,156.41
7/22/1926,155.58
7/23/1926,155.43
7/24/1926,154.59
7/26/1926,155.71
7/27/1926,156.73
7/28/1926,159.33
7/29/1926,160.58
7/30/1926,160.18
7/31/1926,160.47
8/2/1926,161.84
8/3/1926,163.4
8/4/1926,163.23
8/5/1926,163.34
8/6/1926,164.16
8/7/1926,165.21
8/9/1926,166.14
8/10/1926,162.89
8/11/1926,161.68
8/12/1926,163.28
8/13/1926,164.85
8/14/1926,166.64
8/16/1926,166.1
8/17/1926,164.14
8/18/1926,164.41
8/19/1926,162.43
8/20/1926,162.06
8/21/1926,162.78
8/23/1926,163.41
8/24/1926,161.46
8/25/1926,160.41
8/26/1926,161.18
8/27/1926,161.36
8/28/1926,161.88
8/30/1926,161.83
8/31/1926,162.51
9/1/1926,163.93
9/2/1926,163.23
9/3/1926,163.75
9/7/1926,166.1
9/8/1926,165.05
9/9/1926,164.94
9/10/1926,163.35
9/11/1926,162.16
9/13/1926,158.97
9/14/1926,160.57
9/15/1926,159.35
9/16/1926,158.71
9/17/1926,156.74
9/18/1926,157.86
9/20/1926,156.26
9/21/1926,157.56
9/22/1926,156.65
9/23/1926,156.96
9/24/1926,158.65
9/25/1926,159.27
9/27/1926,158.42
9/28/1926,158.01
9/29/1926,157.71
9/30/1926,158.19
10/1/1926,159.69
10/2/1926,159.64
10/4/1926,156.78
10/5/1926,154.86
10/6/1926,153.99
10/7/1926,152.5
10/8/1926,153.39
10/9/1926,151.18
10/11/1926,149.35
10/13/1926,150.78
10/14/1926,152.1
10/15/1926,147.95
10/16/1926,146.85
10/18/1926,148.2
10/19/1926,145.66
10/20/1926,146.73
10/21/1926,149.38
10/22/1926,148.51
10/23/1926,149.56
10/25/1926,148.78
10/26/1926,149.35
10/27/1926,151.87
10/28/1926,151.45
10/29/1926,150.76
10/30/1926,150.38
11/1/1926,150.51
11/3/1926,151.23
11/4/1926,152.76
11/5/1926,152.88
11/6/1926,153.03
11/8/1926,154.78
11/9/1926,154.82
11/10/1926,153.41
11/11/1926,154.66
11/12/1926,155
11/13/1926,154.58
11/15/1926,155
11/16/1926,156.53
11/17/1926,155.15
11/18/1926,154.51
11/19/1926,152.86
11/20/1926,153.95
11/22/1926,155.01
11/23/1926,155.83
11/24/1926,155.73
11/26/1926,157.37
11/27/1926,156.43
11/29/1926,155.93
11/30/1926,156.55
12/1/1926,157.31
12/2/1926,158
12/3/1926,158.5
12/4/1926,159.05
12/6/1926,159.3
12/7/1926,158.86
12/8/1926,158.35
12/9/1926,158.94
12/10/1926,159.61
12/11/1926,159.89
12/13/1926,160.01
12/14/1926,160.65
12/15/1926,160.63
12/16/1926,159.32
12/17/1926,160.66
12/18/1926,161.86
12/20/1926,160.75
12/21/1926,160.46
12/22/1926,160.29
12/23/1926,160.22
12/24/1926,160.46
12/27/1926,159.32
12/28/1926,157.19
12/29/1926,157.5
12/30/1926,156.65
12/31/1926,157.2
1/3/1927,155.16
1/4/1927,155.53
1/5/1927,155.54
1/6/1927,155.16
1/7/1927,155.53
1/8/1927,155.85
1/10/1927,156.56
1/11/1927,155.68
1/12/1927,155.5
1/13/1927,155.45
1/14/1927,154.91
1/15/1927,154.99
1/17/1927,153.91
1/18/1927,154.11
1/19/1927,155.53
1/20/1927,155.16
1/21/1927,155.51
1/22/1927,155.17
1/24/1927,154.43
1/25/1927,152.73
1/26/1927,153.36
1/27/1927,153.13
1/28/1927,153.86
1/29/1927,155.18
1/31/1927,156.41
2/1/1927,156.26
2/2/1927,154.8
2/3/1927,154.94
2/4/1927,154.51
2/5/1927,154.33
2/7/1927,154.31
2/8/1927,154.86
2/9/1927,155.29
2/10/1927,155.53
2/11/1927,156.05
2/14/1927,157.56
2/15/1927,157.61
2/16/1927,157.41
2/17/1927,157.97
2/18/1927,158.56
2/19/1927,158.71
2/21/1927,158.8
2/23/1927,160.43
2/24/1927,160.11
2/25/1927,160.68
2/26/1927,160.83
2/28/1927,161.96
3/1/1927,161.42
3/2/1927,159.07
3/3/1927,160.89
3/4/1927,159.68
3/5/1927,159.23
3/7/1927,158.62
3/8/1927,158.84
3/9/1927,159.86
3/10/1927,160.87
3/11/1927,160.18
3/12/1927,160.73
3/14/1927,161.43
3/15/1927,160.03
3/16/1927,161.61
3/17/1927,161.78
3/18/1927,160.68
3/19/1927,160.56
3/21/1927,160.81
3/22/1927,158.41
3/23/1927,158.85
3/24/1927,160.3
3/25/1927,160.21
3/26/1927,160.55
3/28/1927,161.01
3/29/1927,160.62
3/30/1927,159.66
3/31/1927,160.08
4/1/1927,160.71
4/2/1927,160.66
4/4/1927,161.7
4/5/1927,162.68
4/6/1927,162.69
4/7/1927,162.5
4/8/1927,162.52
4/9/1927,162.69
4/11/1927,163.61
4/12/1927,163.38
4/13/1927,164.17
4/14/1927,164.78
4/16/1927,165.59
4/18/1927,165.48
4/19/1927,165.93
4/20/1927,166.1
4/21/1927,166.66
4/22/1927,167.36
4/23/1927,166.8
4/25/1927,163.73
4/26/1927,165.12
4/27/1927,165.23
4/28/1927,163.53
4/29/1927,164.64
4/30/1927,164.21
5/2/1927,164.55
5/3/1927,165.85
5/4/1927,168.05
5/5/1927,167.75
5/6/1927,167.85
5/7/1927,167.94
5/9/1927,168.15
5/10/1927,168.25
5/11/1927,167.58
5/12/1927,167.06
5/13/1927,168.15
5/14/1927,168.46
5/16/1927,166.68
5/17/1927,168.09
5/18/1927,168.98
5/19/1927,170.29
5/20/1927,171.75
5/21/1927,172.06
5/23/1927,171.67
5/24/1927,171.06
5/25/1927,171.51
5/26/1927,171.31
5/27/1927,172.15
5/28/1927,172.56
5/31/1927,172.96
6/1/1927,171.98
6/2/1927,171.88
6/3/1927,169.65
6/4/1927,170.16
6/6/1927,171.13
6/7/1927,170.18
6/8/1927,170.22
6/9/1927,170.85
6/10/1927,170.21
6/11/1927,170.63
6/14/1927,167.63
6/15/1927,168.78
6/16/1927,170.26
6/17/1927,170.15
6/18/1927,169.85
6/20/1927,169.5
6/21/1927,169.87
6/22/1927,169.5
6/23/1927,167.82
6/24/1927,168.04
6/25/1927,168.04
6/27/1927,165.73
6/28/1927,166.4
6/29/1927,166.53
6/30/1927,166.23
7/1/1927,168.06
7/2/1927,169.29
7/5/1927,170.95
7/6/1927,172.27
7/7/1927,171.96
7/8/1927,171.5
7/9/1927,171.98
7/11/1927,172.65
7/12/1927,173.11
7/13/1927,173.19
7/14/1927,174.38
7/15/1927,174.87
7/16/1927,174.93
7/18/1927,175.4
7/19/1927,177.02
7/20/1927,177.83
7/21/1927,177.75
7/22/1927,177.83
7/23/1927,178.11
7/25/1927,179.28
7/26/1927,179.72
7/27/1927,180.09
7/28/1927,180.73
7/29/1927,181.4
7/30/1927,182.61
8/1/1927,184.21
8/2/1927,185.55
8/3/1927,183.56
8/4/1927,184.64
8/5/1927,182.87
8/6/1927,182.51
8/8/1927,180.27
8/9/1927,182.05
8/10/1927,182.2
8/11/1927,180
8/12/1927,177.13
8/13/1927,179.34
8/15/1927,181.93
8/16/1927,183.36
8/17/1927,184.3
8/18/1927,184.15
8/19/1927,185.1
8/20/1927,185.8
8/22/1927,187.32
8/23/1927,187.49
8/24/1927,188.07
8/25/1927,187.5
8/26/1927,188.81
