Request cancelled,HANG SENG - PRICE INDEX
1980/1/2,889.13
1980/1/3,862.06
1980/1/4,848.84
1980/1/7,816.18
1980/1/8,848.32
1980/1/9,850.75
1980/1/10,853.21
1980/1/11,846.47
1980/1/14,842.51
1980/1/15,833.86
1980/1/16,842.49
1980/1/17,860.94
1980/1/18,854.87
1980/1/21,873.82
1980/1/22,884.91
1980/1/23,878.56
1980/1/24,901.27
1980/1/25,920.01
1980/1/28,926.08
1980/1/29,936.83
1980/1/30,913.59
1980/1/31,907.5
1980/2/1,893.77
1980/2/4,920.61
1980/2/5,927.4
1980/2/6,914.95
1980/2/7,911.35
1980/2/8,907.78
1980/2/11,909.67
1980/2/12,934.03
1980/2/13,937.24
1980/2/14,961.21
1980/2/15,963.17
1980/2/18,963.17
1980/2/19,963.17
1980/2/20,949.89
1980/2/21,943.44
1980/2/22,929.55
1980/2/25,902.2
1980/2/26,894.99
1980/2/27,876.15
1980/2/28,918.74
1980/2/29,914.91
1980/3/3,891.62
1980/3/4,878.97
1980/3/5,857.51
1980/3/6,865.28
1980/3/7,833.69
1980/3/10,816.6
1980/3/11,832.86
1980/3/12,835.63
1980/3/13,800.96
1980/3/14,767.43
1980/3/17,783.3
1980/3/18,747.76
1980/3/19,738.92
1980/3/20,766.49
1980/3/21,764.68
1980/3/24,765.33
1980/3/25,758.13
1980/3/26,762.96
1980/3/27,766.23
1980/3/28,783.22
1980/3/31,783.22
1980/4/1,784.95
1980/4/2,791.93
1980/4/3,786.98
1980/4/4,786.98
1980/4/7,786.98
1980/4/8,773.82
1980/4/9,775.19
1980/4/10,785.04
1980/4/11,800.2
1980/4/14,806.81
1980/4/15,791.7
1980/4/16,798.27
1980/4/17,814.71
1980/4/18,822.86
1980/4/21,822.86
1980/4/22,840.12
1980/4/23,844.88
1980/4/24,866.37
1980/4/25,854.19
1980/4/28,863.15
1980/4/29,875.85
1980/4/30,867.9
1980/5/1,863.88
1980/5/2,854.22
1980/5/5,858.4
1980/5/6,867.81
1980/5/7,861.56
1980/5/8,878.88
1980/5/9,883.85
1980/5/12,889.62
1980/5/13,902.48
1980/5/14,900.78
1980/5/15,910.84
1980/5/16,900.29
1980/5/19,897.8
1980/5/20,890.42
1980/5/21,890.98
1980/5/22,900.77
1980/5/23,897.07
1980/5/26,898.38
1980/5/27,876.54
1980/5/28,884.96
1980/5/29,883.43
1980/5/30,894.32
1980/6/2,901.67
1980/6/3,899.39
1980/6/4,906.07
1980/6/5,925.49
1980/6/6,931.76
1980/6/9,950.05
1980/6/10,955.94
1980/6/11,951.99
1980/6/12,971.3
1980/6/13,969.16
1980/6/16,981.12
1980/6/17,981.12
1980/6/18,983.24
