Name,IDX COMPOSITE - PRICE INDEX
1990/1/3,398.773
1990/1/4,399.611
1990/1/5,406.49
1990/1/8,419.76
1990/1/9,443.39
1990/1/10,449.839
1990/1/11,456.074
1990/1/12,460.532
1990/1/15,461.68
1990/1/16,458.972
1990/1/17,455.205
1990/1/18,452.168
1990/1/19,451.308
1990/1/22,449.642
1990/1/23,448.111
1990/1/24,443.539
1990/1/25,443.559
1990/1/26,445.627
1990/1/29,441.252
1990/1/30,439.738
1990/1/31,441.805
1990/2/1,444.576
1990/2/2,446.112
1990/2/5,449.317
1990/2/6,452.113
1990/2/7,454.238
1990/2/8,459.414
1990/2/9,458.84
1990/2/12,457.85
1990/2/13,459.565
1990/2/14,459.764
1990/2/15,464.516
1990/2/16,468.015
1990/2/19,473.237
1990/2/20,479.391
1990/2/21,488.357
1990/2/22,490.593
1990/2/23,490.593
1990/2/26,492.825
1990/2/27,498.28
1990/2/28,504.267
1990/3/1,519.761
1990/3/2,527.365
1990/3/5,587.911
1990/3/6,584.323
1990/3/7,584.904
1990/3/8,577.634
1990/3/9,585.89
1990/3/12,592.949
1990/3/13,587.176
1990/3/14,581.718
1990/3/15,580.763
1990/3/16,581.634
1990/3/19,583.166
1990/3/20,588.233
1990/3/21,592.077
1990/3/22,588.802
1990/3/23,591.849
1990/3/26,596.732
1990/3/27,596.732
1990/3/28,601.882
1990/3/29,605.862
1990/3/30,609.017
1990/4/2,611.136
1990/4/3,614.161
1990/4/4,681.944
1990/4/5,654.511
1990/4/6,641.269
1990/4/9,633.482
1990/4/10,632.086
1990/4/11,634.693
1990/4/12,639.614
1990/4/13,639.614
1990/4/16,640.014
1990/4/17,641.873
1990/4/18,640.528
1990/4/19,643.906
1990/4/20,641.686
1990/4/23,643.91
1990/4/24,638.798
1990/4/25,638.79
1990/4/26,638.79
1990/4/27,638.79
1990/4/30,638.79
1990/5/1,639.01
1990/5/2,636.154
1990/5/3,642.16
1990/5/4,643.094
1990/5/7,641.946
1990/5/8,642.984
1990/5/9,645.012
1990/5/10,645.012
1990/5/11,643.312
1990/5/14,638.922
1990/5/15,640.855
1990/5/16,639.337
1990/5/17,644.441
1990/5/18,646.283
1990/5/21,647.216
1990/5/22,647.401
1990/5/23,646.247
1990/5/24,646.247
1990/5/25,647.366
1990/5/28,640.131
1990/5/29,641.14
1990/5/30,640.61
1990/5/31,636.401
1990/6/1,635.026
1990/6/4,636.243
1990/6/5,637.087
1990/6/6,636.642
1990/6/7,636.642
1990/6/8,636.064
1990/6/11,634.761
1990/6/12,634.421
1990/6/13,631.687
1990/6/14,630.303
1990/6/15,628.281
1990/6/18,626.908
1990/6/19,621.791
1990/6/20,622.983
1990/6/21,622.983
1990/6/22,623.958
1990/6/25,626.147
1990/6/26,623.762
1990/6/27,627.105
1990/6/28,626.763
1990/6/29,624.326
1990/7/2,629.448
1990/7/3,629.448
1990/7/4,629.708
1990/7/5,627.423
1990/7/6,626.811
1990/7/9,623.298
1990/7/10,624.601
1990/7/11,627.469
1990/7/12,627.969
1990/7/13,630.021
1990/7/16,630.734
1990/7/17,629.531
1990/7/18,631.17
1990/7/19,629.473
1990/7/20,630.096
1990/7/23,630.096
1990/7/24,625.906
1990/7/25,627.96
1990/7/26,625.786
1990/7/27,624.087
1990/7/30,619.662
1990/7/31,613.574
1990/8/1,611.981
1990/8/2,612.222
1990/8/3,613.494
1990/8/6,607.626
1990/8/7,603.124
1990/8/8,595.935
1990/8/9,593.473
1990/8/10,591.969
1990/8/13,590.011
1990/8/14,587.334
1990/8/15,584.156
1990/8/16,585.15
1990/8/17,585.15
1990/8/20,583.471
1990/8/21,577.432
1990/8/22,573.298
1990/8/23,563.49
1990/8/24,551.782
1990/8/27,546.83
1990/8/28,551.571
1990/8/29,556.337
1990/8/30,559.583
1990/8/31,571.02
1990/9/3,567.407
1990/9/4,562.336
1990/9/5,557.058
1990/9/6,557.147
1990/9/7,546.599
1990/9/10,544.666
1990/9/11,541.87
1990/9/12,539.391
1990/9/13,530.423
1990/9/14,529.12
1990/9/17,523.114
1990/9/18,515.144
1990/9/19,507.072
1990/9/20,500.69
1990/9/21,500.299
1990/9/24,494.494
1990/9/25,477.378
1990/9/26,464.253
1990/9/27,454.512
1990/9/28,468.509
1990/10/1,468.509
1990/10/2,460.58
1990/10/3,456.901
1990/10/4,452.615
1990/10/5,450.058
1990/10/8,446.341
1990/10/9,441.766
1990/10/10,433.5
1990/10/11,428.56
1990/10/12,425.397
1990/10/15,419.243
1990/10/16,417.747
1990/10/17,407.543
1990/10/18,398.558
1990/10/19,396.981
1990/10/22,407.675
1990/10/23,405.112
1990/10/24,409.128
1990/10/25,417.576
1990/10/26,437.757
1990/10/29,453.229
1990/10/30,430.686
1990/10/31,416.489
1990/11/1,416.343
1990/11/2,419.732
1990/11/5,416.623
1990/11/6,415.081
1990/11/7,414.507
1990/11/8,412.826
1990/11/9,412.03
1990/11/12,408.968
1990/11/13,406.419
1990/11/14,402.51
1990/11/15,398.955
1990/11/16,398.521
1990/11/19,395.21
1990/11/20,391.794
1990/11/21,391.93
1990/11/22,390.042
1990/11/23,390.987
1990/11/26,389.658
1990/11/27,388.472
1990/11/28,387.377
1990/11/29,384.799
1990/11/30,382.203
1990/12/3,378.119
1990/12/4,376.287
1990/12/5,371.198
1990/12/6,380.968
1990/12/7,380.723
1990/12/10,378.582
1990/12/11,381.494
1990/12/12,383.657
1990/12/13,386.116
1990/12/14,390.414
1990/12/17,395.212
1990/12/18,398.216
1990/12/19,397.868
1990/12/20,398.241
1990/12/21,400.458
1990/12/24,400.458
1990/12/25,400.458
1990/12/26,403.843
1990/12/27,410.615
1990/12/28,417.788
1990/12/31,417.788
1991/1/1,417.788
1991/1/2,417.788
1991/1/3,408.538
1991/1/4,408.491
1991/1/7,404.817
1991/1/8,401.647
1991/1/9,399.133
1991/1/10,397.383
1991/1/11,394.766
1991/1/14,391.17
1991/1/15,390.51
1991/1/16,389.224
1991/1/17,389.641
1991/1/18,393.19
1991/1/21,389.123
1991/1/22,387.467
1991/1/23,387.076
1991/1/24,384.98
1991/1/25,384.21
1991/1/28,384.836
1991/1/29,385.1
1991/1/30,384.404
1991/1/31,383.018
1991/2/1,383.626
1991/2/4,383.866
1991/2/5,382.783
1991/2/6,381
1991/2/7,382.298
1991/2/8,381.275
1991/2/11,381.23
1991/2/12,381.23
1991/2/13,381.238
1991/2/14,382.439
1991/2/15,382.268
1991/2/18,385.401
1991/2/19,388.301
1991/2/20,396.175
1991/2/21,406.827
1991/2/22,419.533
1991/2/25,427.019
1991/2/26,411.402
1991/2/27,403.399
1991/2/28,391.33
1991/3/1,387.925
1991/3/4,382.202
1991/3/5,378.582
1991/3/6,382.407
1991/3/7,386.352
1991/3/8,390.046
1991/3/11,398.405
1991/3/12,397.098
1991/3/13,398.776
1991/3/14,400.407
1991/3/15,401.03
1991/3/18,398.866
1991/3/19,398.15
1991/3/20,398.76
1991/3/21,397.71
1991/3/22,398.236
1991/3/25,400.875
1991/3/26,403.227
1991/3/27,406.98
1991/3/28,408.11
1991/3/29,408.11
1991/4/1,407.093
1991/4/2,404.104
1991/4/3,404.539
1991/4/4,406.116
1991/4/5,406.775
1991/4/8,408.065
1991/4/9,410.793
1991/4/10,412.072
1991/4/11,411.782
1991/4/12,412.48
1991/4/15,412.48
1991/4/16,412.48
1991/4/17,412.48
1991/4/18,412.48
1991/4/19,412.48
1991/4/22,415.554
1991/4/23,419.581
1991/4/24,421.912
1991/4/25,423.191
1991/4/26,423.15
1991/4/29,420.571
1991/4/30,413.723
1991/5/1,413.368
1991/5/2,412.221
1991/5/3,407.481
1991/5/6,407.585
1991/5/7,406.527
1991/5/8,406.652
1991/5/9,406.652
1991/5/10,407.675
1991/5/13,406.926
1991/5/14,404.937
1991/5/15,404.782
1991/5/16,403.507
1991/5/17,404.873
1991/5/20,406.018
1991/5/21,406.457
1991/5/22,406.703
