",",
2002/1/1,7.7
2002/1/2,7.89
2002/1/3,7.89
2002/1/4,8.01
2002/1/7,8.01
2002/1/8,8.16
2002/1/9,8.3
2002/1/10,8.23
2002/1/11,8.12
2002/1/14,8.06
2002/1/15,7.92
2002/1/16,8.15
2002/1/17,8.01
2002/1/18,7.6
2002/1/21,7.73
2002/1/22,7.49
2002/1/23,7.75
2002/1/24,7.45
2002/1/25,7.43
2002/1/28,7.48
2002/1/29,7.39
2002/1/30,7
2002/1/31,6.82
2002/2/1,6.68
2002/2/4,6.75
2002/2/5,6.45
2002/2/6,6.75
2002/2/7,6.59
2002/2/8,6.58
2002/2/11,6.5
2002/2/12,6.31
2002/2/13,6.4
2002/2/14,6.53
2002/2/15,6.53
2002/2/18,6.53
2002/2/19,6.53
2002/2/20,6.53
2002/2/21,6.69
2002/2/22,6.57
2002/2/25,6.58
2002/2/26,6.35
2002/2/27,6.5
2002/2/28,6.14
2002/3/1,6.36
2002/3/4,6.63
2002/3/5,6.5
2002/3/6,6.71
2002/3/7,6.6
2002/3/8,6.61
2002/3/11,6.78
2002/3/12,6.81
2002/3/13,6.69
2002/3/14,6.79
2002/3/15,6.82
2002/3/18,6.85
2002/3/19,6.82
2002/3/20,6.62
2002/3/21,6.61
2002/3/22,6.38
2002/3/25,6.7
2002/3/26,6.9
2002/3/27,6.9
2002/3/28,6.9
2002/3/29,6.9
2002/4/1,6.87
2002/4/2,6.8
2002/4/3,6.83
2002/4/4,6.66
2002/4/5,6.7
2002/4/8,6.7
2002/4/9,6.54
2002/4/10,6.54
2002/4/11,6.88
2002/4/12,6.75
2002/4/15,6.8
2002/4/16,6.85
2002/4/17,6.85
2002/4/18,6.85
2002/4/19,6.9
2002/4/22,7.25
2002/4/23,7.24
2002/4/24,7.22
2002/4/25,7.12
2002/4/26,7.1
2002/4/29,6.94
2002/4/30,7.05
2002/5/1,5.81
2002/5/2,5.71
2002/5/3,5.71
2002/5/6,5.71
2002/5/7,5.98
2002/5/8,5.73
2002/5/9,5.88
2002/5/10,5.95
2002/5/13,6
2002/5/14,6.27
2002/5/15,6.29
2002/5/16,6.24
2002/5/17,6.49
2002/5/20,6.19
2002/5/21,6.24
2002/5/22,6.03
2002/5/23,6.17
2002/5/24,6.05
2002/5/27,6.1
2002/5/28,6.05
2002/5/29,6.09
2002/5/30,6.23
2002/5/31,6.25
2002/6/3,6.22
2002/6/4,6.21
2002/6/5,6.2
2002/6/6,6.22
2002/6/7,6.02
2002/6/10,6.09
2002/6/11,5.88
2002/6/12,5.65
2002/6/13,5.6
2002/6/14,5.65
2002/6/17,5.6
2002/6/18,5.38
2002/6/19,5.55
2002/6/20,5.42
2002/6/21,5.28
2002/6/24,5.28
2002/6/25,5.55
2002/6/26,5.85
2002/6/27,5.46
2002/6/28,5.81
2002/7/1,5.95
2002/7/2,6.01
2002/7/3,6
2002/7/4,6
2002/7/5,6
2002/7/8,6.13
2002/7/9,6.2
2002/7/10,6.45
2002/7/11,6.41
2002/7/12,6.55
2002/7/15,6.64
2002/7/16,6.36
2002/7/17,6.46
2002/7/18,6.38
2002/7/19,6.83
2002/7/22,6.65
2002/7/23,6.85
2002/7/24,6.8
2002/7/25,6.5
2002/7/26,6.6
2002/7/29,6.5
2002/7/30,6.1
2002/7/31,6.3
2002/8/1,6.51
2002/8/2,6.37
2002/8/5,6.25
2002/8/6,6.23
2002/8/7,6.39
2002/8/8,6.45
2002/8/9,6.45
2002/8/12,6.29
2002/8/13,6.15
2002/8/14,6.41
2002/8/15,6.3
2002/8/16,6.52
2002/8/19,6.17
2002/8/20,6.07
2002/8/21,6.2
2002/8/22,6.31
2002/8/23,6.35
2002/8/26,6.35
2002/8/27,6.11
2002/8/28,6.34
2002/8/29,6.15
2002/8/30,6.23
2002/9/2,6.23
2002/9/3,6.38
2002/9/4,6.59
2002/9/5,6.42
2002/9/6,6.5
2002/9/9,6.89
2002/9/10,7.14
2002/9/11,6.93
2002/9/12,7.05
2002/9/13,7.05
2002/9/16,7.25
2002/9/17,7
2002/9/18,7.14
2002/9/19,7.1
2002/9/20,7.31
2002/9/23,7.12
2002/9/24,7.03
2002/9/25,7.21
2002/9/26,7.2
2002/9/27,7.13
2002/9/30,7.35
2002/10/1,6.99
2002/10/2,7.09
2002/10/3,7.26
2002/10/4,7.26
2002/10/7,7.3
2002/10/8,7.6
2002/10/9,7.65
2002/10/10,7.59
2002/10/11,7.5
2002/10/14,7.4
2002/10/15,7.55
2002/10/16,7.52
2002/10/17,7.46
2002/10/18,7.6
2002/10/21,7.79
2002/10/22,7.6
2002/10/23,7.74
2002/10/24,7.57
2002/10/25,7.5
2002/10/28,7.49
2002/10/29,7.78
2002/10/30,7.82
2002/10/31,7.78
2002/11/1,7.81
2002/11/4,7.87
2002/11/5,8.05
2002/11/6,8.17
2002/11/7,8.17
2002/11/8,7.99
2002/11/11,7.95
2002/11/12,7.89
2002/11/13,7.56
2002/11/14,7.38
2002/11/15,7.37
2002/11/18,7.63
2002/11/19,7.27
2002/11/20,7.94
2002/11/21,7.83
2002/11/22,7.93
2002/11/25,8
2002/11/26,7.84
2002/11/27,7.88
2002/11/28,7.88
2002/11/29,7.88
2002/12/2,8.08
2002/12/3,8.17
2002/12/4,8.31
2002/12/5,8.08
2002/12/6,7.95
2002/12/9,7.75
2002/12/10,7.61
2002/12/11,7.99
2002/12/12,7.88
2002/12/13,7.95
2002/12/16,8.01
2002/12/17,7.97
2002/12/18,8.09
2002/12/19,7.69
2002/12/20,8.1
2002/12/23,7.9
2002/12/24,7.9
2002/12/25,7.9
2002/12/26,7.95
2002/12/27,7.97
2002/12/30,7.88
2002/12/31,7.88
2003/1/1,8.05
2003/1/2,8.14
2003/1/3,7.85
2003/1/6,8.06
2003/1/7,8.05
2003/1/8,8.19
2003/1/9,7.98
2003/1/10,8.02
2003/1/13,8.02
2003/1/14,8.01
2003/1/15,8.1
2003/1/16,8.03
2003/1/17,8.25
2003/1/20,7.84
2003/1/21,8.09
2003/1/22,8.03
2003/1/23,8.1
2003/1/24,8.42
2003/1/27,8.53
2003/1/28,8.86
2003/1/29,8.75
2003/1/30,8.83
2003/1/31,8.87
2003/2/3,8.78
2003/2/4,8.65
2003/2/5,8.97
2003/2/6,9.14
2003/2/7,9.23
2003/2/10,9.37
2003/2/11,9.14
2003/2/12,9.07
2003/2/13,8.83
2003/2/14,9.07
2003/2/17,9.13
2003/2/18,9.17
2003/2/19,9.25
2003/2/20,9.16
2003/2/21,9.04
2003/2/24,8.74
2003/2/25,8.75
2003/2/26,8.86
2003/2/27,8.87
2003/2/28,8.95
2003/3/3,8.76
2003/3/4,8.66
2003/3/5,8.39
2003/3/6,8.64
2003/3/7,8.67
2003/3/10,8.36
2003/3/11,8.47
2003/3/12,8.1
2003/3/13,7.92
2003/3/14,8.15
2003/3/17,8.08
2003/3/18,7.92
2003/3/19,7.92
2003/3/20,8.1
2003/3/21,8.1
2003/3/24,8.13
2003/3/25,7.94
2003/3/26,7.86
2003/3/27,7.74
2003/3/28,8.06
2003/3/31,7.98
2003/4/1,7.83
2003/4/2,7.9
2003/4/3,8.05
2003/4/4,7.98
2003/4/7,7.87
2003/4/8,7.6
2003/4/9,7.58
2003/4/10,7.55
2003/4/11,7.43
2003/4/14,7.42
2003/4/15,7.47
2003/4/16,7.54
2003/4/17,7.54
2003/4/18,7.72
2003/4/21,7.9
2003/4/22,7.92
2003/4/23,8.04
2003/4/24,7.98
2003/4/25,8.1
2003/4/28,7.66
2003/4/29,7.44
2003/4/30,7.4
2003/5/1,7.48
2003/5/2,7.28
2003/5/5,7.08
2003/5/6,7.18
2003/5/7,6.9
2003/5/8,6.86
2003/5/9,7.07
2003/5/12,7.2
2003/5/13,6.96
2003/5/14,6.96
2003/5/15,6.97
2003/5/16,7.06
2003/5/19,7.22
2003/5/20,7.4
2003/5/21,7.17
2003/5/22,7.38
2003/5/23,7.17
2003/5/26,7.55
2003/5/27,7.35
2003/5/28,7.19
2003/5/29,7.14
2003/5/30,7.29
2003/6/2,7.12
2003/6/3,6.97
2003/6/4,6.87
2003/6/5,6.79
2003/6/6,6.84
2003/6/9,6.79
2003/6/10,6.85
2003/6/11,6.71
2003/6/12,6.59
2003/6/13,6.69
2003/6/16,6.71
2003/6/17,6.65
2003/6/18,6.65
2003/6/19,6.68
2003/6/20,6.71
2003/6/23,6.51
2003/6/24,6.54
2003/6/25,6.48
2003/6/26,6.53
2003/6/27,6.34
2003/6/30,6.37
2003/7/1,6.42
2003/7/2,6.6
2003/7/3,6.54
2003/7/4,6.59
2003/7/7,6.66
2003/7/8,6.68
2003/7/9,6.73
2003/7/10,6.59
2003/7/11,6.66
2003/7/14,6.74
2003/7/15,6.81
2003/7/16,6.8
2003/7/17,6.85
2003/7/18,7.01
2003/7/21,7
2003/7/22,7.19
2003/7/23,7.07
2003/7/24,7.03
2003/7/25,7.1
2003/7/28,7.3
2003/7/29,7.45
2003/7/30,7.2
2003/7/31,7.34
2003/8/1,7.39
2003/8/4,7.48
2003/8/5,7.4
2003/8/6,7.38
2003/8/7,6.94
2003/8/8,6.75
2003/8/11,7.01
2003/8/12,6.8
2003/8/13,6.62
2003/8/14,6.61
2003/8/15,6.59
2003/8/18,6.65
2003/8/19,6.55
2003/8/20,6.69
2003/8/21,6.52
2003/8/22,6.58
2003/8/25,6.65
2003/8/26,6.7
2003/8/27,6.58
2003/8/28,6.58
2003/8/29,6.25
2003/9/1,6.21
2003/9/2,6.03
2003/9/3,6.06
2003/9/4,5.89
2003/9/5,6.04
2003/9/8,5.82
2003/9/9,5.86
2003/9/10,6.05
2003/9/11,5.85
2003/9/12,5.99
2003/9/15,5.73
2003/9/16,5.94
2003/9/17,5.81
2003/9/18,5.91
2003/9/19,5.86
2003/9/22,6
2003/9/23,6.07
2003/9/24,6.05
2003/9/25,5.89
2003/9/26,6.05
2003/9/29,6.28
2003/9/30,6.34
2003/10/1,6.34
2003/10/2,6.23
2003/10/3,6.29
2003/10/6,6.01
2003/10/7,5.93
2003/10/8,5.91
2003/10/9,5.87
2003/10/10,5.79
2003/10/13,5.78
2003/10/14,6.03
2003/10/15,5.91
2003/10/16,5.78
2003/10/17,5.76
2003/10/20,5.82
2003/10/21,5.88
2003/10/22,5.75
2003/10/23,5.75
2003/10/24,5.93
2003/10/27,5.99
2003/10/28,5.94
2003/10/29,5.92
2003/10/30,6.1
2003/10/31,5.73
2003/11/3,5.71
2003/11/4,5.82
2003/11/5,5.85
2003/11/6,5.92
2003/11/7,5.95
2003/11/10,6.1
2003/11/11,6.07
2003/11/12,6.12
2003/11/13,6.3
2003/11/14,6.28
2003/11/17,6.22
2003/11/18,6.25
2003/11/19,6.45
2003/11/20,6.3
2003/11/21,6.11
2003/11/24,5.96
2003/11/25,6.08
2003/11/26,6.19
2003/11/27,6.19
2003/11/28,6.2
2003/12/1,6.2
2003/12/2,6.38
2003/12/3,6.53
2003/12/4,6.6
2003/12/5,6.55
2003/12/8,6.51
2003/12/9,6.64
2003/12/10,6.6
2003/12/11,6.61
2003/12/12,6.67
2003/12/15,6.45
2003/12/16,6.48
2003/12/17,6.47
2003/12/18,6.32
2003/12/19,5.95
2003/12/22,5.8
2003/12/23,5.87
2003/12/24,5.87
2003/12/25,5.87
2003/12/26,5.76
2003/12/29,5.71
2003/12/30,5.67
2003/12/31,5.71
2004/1/1,5.57
2004/1/2,5.57
2004/1/5,5.6
2004/1/6,5.85
2004/1/7,5.84
2004/1/8,5.66
2004/1/9,5.9
2004/1/12,5.87
2004/1/13,5.88
2004/1/14,5.8
2004/1/15,5.63
2004/1/16,5.79
2004/1/19,5.84
2004/1/20,5.88
2004/1/21,5.83
2004/1/22,5.89
2004/1/23,5.87
2004/1/26,5.85
2004/1/27,5.9
2004/1/28,6
2004/1/29,5.9
2004/1/30,5.91
2004/2/2,5.77
2004/2/3,5.8
2004/2/4,5.65
2004/2/5,5.55
2004/2/6,5.55
2004/2/9,5.48
2004/2/10,5.74
2004/2/11,5.63
2004/2/12,5.7
2004/2/13,5.78
2004/2/16,5.95
2004/2/17,5.9
2004/2/18,5.85
2004/2/19,5.87
2004/2/20,6.04
2004/2/23,6.04
2004/2/24,6.15
2004/2/25,6.14
2004/2/26,6.32
2004/2/27,6.13
2004/3/1,6.19
2004/3/2,6.1
2004/3/3,6.03
2004/3/4,6.13
2004/3/5,6.17
2004/3/8,6.22
2004/3/9,6.35
2004/3/10,6.25
2004/3/11,6.62
2004/3/12,6.64
2004/3/15,6.74
2004/3/16,6.7
2004/3/17,6.6
2004/3/18,6.8
2004/3/19,6.82
2004/3/22,6.92
2004/3/23,7.05
2004/3/24,7.03
2004/3/25,6.57
2004/3/26,6.04
2004/3/29,6.05
2004/3/30,6.37
2004/3/31,6.35
2004/4/1,6.2
2004/4/2,6.36
2004/4/5,6.29
2004/4/6,6.49
2004/4/7,6.73
2004/4/8,6.73
2004/4/9,6.73
2004/4/12,6.67
2004/4/13,6.63
2004/4/14,6.81
2004/4/15,6.6
2004/4/16,6.84
2004/4/19,6.6
2004/4/20,6.65
2004/4/21,6.63
2004/4/22,6.63
2004/4/23,6.48
2004/4/26,6.58
2004/4/27,6.79
2004/4/28,6.35
2004/4/29,6.83
2004/4/30,6.83
2004/5/3,6.59
2004/5/4,6.59
2004/5/5,6.3
2004/5/6,6.51
2004/5/7,6.17
2004/5/10,6.04
2004/5/11,5.92
2004/5/12,6.09
2004/5/13,5.99
2004/5/14,6.05
2004/5/17,6.33
2004/5/18,6.41
2004/5/19,6.26
2004/5/20,6.24
2004/5/21,6.38
2004/5/24,6.44
2004/5/25,6.64
2004/5/26,6.76
2004/5/27,6.73
2004/5/28,6.73
2004/5/31,6.99
2004/6/1,7.13
2004/6/2,6.85
2004/6/3,6.93
2004/6/4,7.09
2004/6/7,7.04
2004/6/8,6.78
2004/6/9,6.73
2004/6/10,6.63
2004/6/11,6.48
2004/6/14,6.49
2004/6/15,6.61
2004/6/16,6.96
2004/6/17,7.13
2004/6/18,6.5
2004/6/21,6.93
2004/6/22,7
2004/6/23,7.09
2004/6/24,7.26
2004/6/25,7.36
2004/6/28,7.16
2004/6/29,7.32
2004/6/30,7.25
2004/7/1,7.45
2004/7/2,7.86
2004/7/5,7.9
2004/7/6,8.03
2004/7/7,8.17
2004/7/8,8
2004/7/9,8.25
2004/7/12,8.05
2004/7/13,7.6
2004/7/14,8.18
2004/7/15,7.9
2004/7/16,8.1
2004/7/19,8.08
2004/7/20,7.9
2004/7/21,7.91
2004/7/22,7.77
2004/7/23,7.85
2004/7/26,8
2004/7/27,7.9
2004/7/28,8.03
2004/7/29,7.93
2004/7/30,8.03
2004/8/2,8.09
2004/8/3,8.05
2004/8/4,7.7
2004/8/5,7.73
2004/8/6,7.77
2004/8/9,7.65
2004/8/10,7.58
2004/8/11,7.48
2004/8/12,7.58
2004/8/13,7.45
2004/8/16,7.22
2004/8/17,7.26
2004/8/18,7.5
2004/8/19,7.39
2004/8/20,7.45
2004/8/23,7.5
2004/8/24,7.39
2004/8/25,7.42
2004/8/26,7.37
2004/8/27,7.48
2004/8/30,7.58
2004/8/31,7.9
2004/9/1,7.95
2004/9/2,7.95
2004/9/3,7.85
2004/9/6,7.85
2004/9/7,7.54
2004/9/8,7.72
2004/9/9,7.48
2004/9/10,7.61
2004/9/13,7.43
2004/9/14,7.44
2004/9/15,7.33
2004/9/16,7.34
2004/9/17,7.24
2004/9/20,7.03
2004/9/21,7.32
2004/9/22,7.43
2004/9/23,7.9
2004/9/24,7.84
2004/9/27,8.39
2004/9/28,8.22
2004/9/29,8.35
2004/9/30,8.51
2004/10/1,8.35
2004/10/4,8.38
2004/10/5,8.55
2004/10/6,8.3
2004/10/7,8.3
2004/10/8,8.67
2004/10/11,8.87
2004/10/12,8.8
2004/10/13,8.57
2004/10/14,8.7
2004/10/15,8.6
2004/10/18,8.4
2004/10/19,8.48
2004/10/20,8.54
2004/10/21,8.53
2004/10/22,8.38
2004/10/25,8.11
2004/10/26,8.28
2004/10/27,8.16
2004/10/28,8
2004/10/29,8.07
2004/11/1,7.93
2004/11/2,7.93
2004/11/3,7.84
2004/11/4,7.95
2004/11/5,8
2004/11/8,8.05
2004/11/9,7.91
2004/11/10,8.1
2004/11/11,8.08
2004/11/12,7.91
2004/11/15,8.19
2004/11/16,8.45
2004/11/17,8.14
2004/11/18,8.33
2004/11/19,8.3
