Name,
1994/1/3,1020
1994/1/4,1040
1994/1/5,1050
1994/1/6,1050
1994/1/7,1050
1994/1/10,1050
1994/1/11,1040
1994/1/12,1050
1994/1/13,1040
1994/1/14,1020
1994/1/17,1000
1994/1/18,1020
1994/1/19,1030
1994/1/20,1020
1994/1/21,1020
1994/1/24,1020
1994/1/25,1000
1994/1/26,990
1994/1/27,1010
1994/1/28,1010
1994/1/31,1030
1994/2/1,1040
1994/2/2,1120
1994/2/3,1150
1994/2/4,1290
1994/2/7,1290
1994/2/8,1260
1994/2/9,1260
1994/2/10,1260
1994/2/11,1260
1994/2/14,1260
1994/2/15,1260
1994/2/16,1300
1994/2/17,1350
1994/2/18,1340
1994/2/21,1390
1994/2/22,1390
1994/2/23,1350
1994/2/24,1260
1994/2/25,1270
1994/2/28,1310
1994/3/1,1350
1994/3/2,1320
1994/3/3,1340
1994/3/4,1330
1994/3/7,1280
1994/3/8,1220
1994/3/9,1230
1994/3/10,1200
1994/3/11,1190
1994/3/14,1230
1994/3/15,1240
1994/3/16,1230
1994/3/17,1200
1994/3/18,1190
1994/3/21,1150
1994/3/22,1160
1994/3/23,1170
1994/3/24,1190
1994/3/25,1200
1994/3/28,1200
1994/3/29,1200
1994/3/30,1200
1994/3/31,1200
1994/4/1,1200
1994/4/4,1150
1994/4/5,1170
1994/4/6,1150
1994/4/7,1140
1994/4/8,1150
1994/4/11,1160
1994/4/12,1170
1994/4/13,1180
1994/4/14,1150
1994/4/15,1140
1994/4/18,1130
1994/4/19,1130
1994/4/20,1110
1994/4/21,1090
1994/4/22,1100
1994/4/25,1090
1994/4/26,1090
1994/4/27,1050
1994/4/28,1040
1994/4/29,1020
1994/5/2,1000
1994/5/3,1040
1994/5/4,1040
1994/5/5,1040
1994/5/6,1020
1994/5/9,1030
1994/5/10,1030
1994/5/11,1030
1994/5/12,1040
1994/5/13,1090
1994/5/16,1090
1994/5/17,1080
1994/5/18,1080
1994/5/19,1070
1994/5/20,1100
1994/5/23,1120
1994/5/24,1170
1994/5/25,1180
1994/5/26,1190
1994/5/27,1220
1994/5/30,1240
1994/5/31,1280
1994/6/1,1340
1994/6/2,1420
1994/6/3,1450
1994/6/6,1450
1994/6/7,1440
1994/6/8,1380
1994/6/9,1350
1994/6/10,1370
1994/6/13,1360
1994/6/14,1330
1994/6/15,1370
1994/6/16,1400
1994/6/17,1400
1994/6/20,1390
1994/6/21,1380
1994/6/22,1410
1994/6/23,1420
1994/6/24,1420
1994/6/27,1420
1994/6/28,1340
1994/6/29,1270
1994/6/30,1270
1994/7/1,1290
1994/7/4,1280
1994/7/5,1280
1994/7/6,1260
1994/7/7,1270
1994/7/8,1270
1994/7/11,1260
1994/7/12,1280
1994/7/13,1290
1994/7/14,1310
1994/7/15,1280
1994/7/18,1230
1994/7/19,1190
1994/7/20,1180
1994/7/21,1210
1994/7/22,1180
1994/7/25,1090
1994/7/26,1100
1994/7/27,1130
1994/7/28,1150
1994/7/29,1160
1994/8/1,1180
1994/8/2,1220
1994/8/3,1230
1994/8/4,1200
1994/8/5,1200
1994/8/8,1190
1994/8/9,1200
1994/8/10,1210
1994/8/11,1260
1994/8/12,1380
1994/8/15,1380
1994/8/16,1400
1994/8/17,1420
1994/8/18,1410
1994/8/19,1430
1994/8/22,1420
1994/8/23,1440
1994/8/24,1400
1994/8/25,1370
1994/8/26,1370
1994/8/29,1380
1994/8/30,1420
1994/8/31,1410
1994/9/1,1420
1994/9/2,1450
1994/9/5,1470
1994/9/6,1470
1994/9/7,1480
1994/9/8,1490
1994/9/9,1490
1994/9/12,1500
1994/9/13,1500
1994/9/14,1490
1994/9/15,1520
1994/9/16,1540
1994/9/19,1580
1994/9/20,1620
1994/9/21,1700
1994/9/22,1630
1994/9/23,1610
1994/9/26,1580
1994/9/27,1570
1994/9/28,1570
1994/9/29,1540
1994/9/30,1540
1994/10/3,1510
1994/10/4,1460
1994/10/5,1460
1994/10/6,1500
1994/10/7,1500
1994/10/10,1510
1994/10/11,1460
1994/10/12,1460
1994/10/13,1470
1994/10/14,1470
1994/10/17,1450
1994/10/18,1420
1994/10/19,1410
1994/10/20,1400
1994/10/21,1390
1994/10/24,1380
1994/10/25,1390
1994/10/26,1420
1994/10/27,1430
1994/10/28,1440
1994/10/31,1440
1994/11/1,1430
1994/11/2,1400
1994/11/3,1390
1994/11/4,1360
1994/11/7,1320
1994/11/8,1290
1994/11/9,1290
1994/11/10,1270
1994/11/11,1260
1994/11/14,1250
1994/11/15,1240
1994/11/16,1240
1994/11/17,1250
1994/11/18,1260
1994/11/21,1240
1994/11/22,1270
1994/11/23,1240
1994/11/24,1240
1994/11/25,1220
1994/11/28,1210
